city_name,city_slug,price_trend_url
Abohar,abohar,
Abu Dhabi,abu-dhabi,
Adilabad,adilabad,
Agarmalwa,agarmalwa,
Agartala,agartala,
Agra,agra,
Ahmedabad,ahmedabad,https://housing.com/price-trends/property-rates-for-buy-in-ahmedabad_gujarat-P4hkd3fsj8fd9kanb
Ahmednagar,ahmednagar,
Aizawl,aizawl,
Ajman,ajman,
Ajmer,ajmer,
Akola,akola,
Alappuzha,alappuzha,
Alibag,alibag,
Aligarh,aligarh,
Alipurduar,alipurduar,
Alirajpur,alirajpur,
Allahabad,allahabad,
Almora,almora,
Aluva,aluva,
Alwar,alwar,
Ambala,ambala,
Ambedkar Nagar,ambedkar-nagar,
Amethi,amethi,
Amravati,amravati,
Amreli,amreli,
Amritsar,amritsar,
Amroha,amroha,
Anand,anand,
Anantapur,anantapur,
Anantnag,anantnag,
Angul,angul,
Anjaw,anjaw,
Ankleshwar,ankleshwar,
Anuppur,anuppur,
Araria,araria,
Aravalli,aravalli,
Ariyalur,ariyalur,
Arrah,arrah,
Arwal,arwal,
Asansol,asansol,
Ashoknagar,ashoknagar,
Auraiya,auraiya,
Aurangabad,aurangabad,
"Aurangabad, Bihar",aurangabad-bihar,
Ayodhya,ayodhya,
Azamgarh,azamgarh,
Baddi,baddi,
Badgam,badgam,
Bagalkot,bagalkot,
Bageshwar,bageshwar,
Baghpat,baghpat,
Bahadurgarh,bahadurgarh,
Bahraich,bahraich,
Baksa,baksa,
Balaghat,balaghat,
Balangir,balangir,
Balasore,balasore,
Ballia,ballia,
Balod,balod,
Balrampur,balrampur,
Banaskantha,banaskantha,
Banda,banda,
Bandipora,bandipora,
Banka,banka,
Bankura,bankura,
Banswara,banswara,
Barabanki,barabanki,
Baramulla,baramulla,
Baran,baran,
Bardhaman,bardhaman,
Bareilly,bareilly,
Bargarh,bargarh,
Barmer,barmer,
Barnala,barnala,
Barpeta,barpeta,
Barwani,barwani,
Bastar,bastar,
Basti,basti,
Bathinda,bathinda,
Bauda,bauda,
Beawar,beawar,
Beed,beed,
Begusarai,begusarai,
Belagavi,belagavi,
Bellary,bellary,
Bemetara,bemetara,
Bengaluru,bengaluru,https://housing.com/price-trends/property-rates-for-buy-in-bangalore_karnataka-P38f9yfbk7p3m2h1f
Berhampore,berhampore,
Bettiah,bettiah,
Betul,betul,
Bhadohi,bhadohi,
Bhadrak,bhadrak,
Bhagalpur,bhagalpur,
Bhandara,bhandara,
Bharatpur,bharatpur,
Bharuch,bharuch,
Bhatapara,bhatapara,
Bhavnagar,bhavnagar,
Bhilai,bhilai,
Bhilwara,bhilwara,
Bhimavaram,bhimavaram,
Bhind,bhind,
Bhiwadi,bhiwadi,
Bhiwani,bhiwani,
Bhojpur,bhojpur,
Bhopal,bhopal,https://housing.com/price-trends/property-rates-for-buy-in-bhopal_madhya_pradesh-P4yqrgzyc6fg2kj85
Bhubaneswar,bhubaneswar,https://housing.com/price-trends/property-rates-for-buy-in-bhubaneswar_odisha-P2dcj99i52op6rf0f
Bhuj,bhuj,
Bidar,bidar,
Bihar Sharif,bihar-sharif,
Bijapur,bijapur,
Bijnor,bijnor,
Bikaner,bikaner,
Bilaspur,bilaspur,
"Bilaspur, HP",bilaspur-hp,
Bilimora,bilimora,
Birbhum,birbhum,
Bishnupur,bishnupur,
Bokaro,bokaro,
Bolpur-Santiniketan,bolpur-santiniketan,
Bongaigaon,bongaigaon,
Botad,botad,
Brajrajnagar,brajrajnagar,
Budaun,budaun,
Bulandshahr,bulandshahr,
Buldhana,buldhana,
Bundi,bundi,
Burhanpur,burhanpur,
Buxar,buxar,
Cachar,cachar,
Chamarajanagar,chamarajanagar,
Chamba,chamba,
Chamoli,chamoli,
Champawat,champawat,
Champhai,champhai,
Chandauli,chandauli,
Chandel,chandel,
Chandigarh,chandigarh,
Chandrapur,chandrapur,
Changlang,changlang,
Charkhi Dadri,charkhi-dadri,
Chatra,chatra,
Chennai,chennai,https://housing.com/price-trends/property-rates-for-buy-in-chennai_india-P4bimjmco2m9afw0m
Chhapra,chhapra,
Chhatarpur,chhatarpur,
Chhindwara,chhindwara,
Chhota Udepur,chhota-udepur,
Chikkamagaluru,chikkamagaluru,
Chiplun,chiplun,
Chirang,chirang,
Chitradurga,chitradurga,
Chitrakoot,chitrakoot,
Chittoor,chittoor,
Chittorgarh,chittorgarh,
Churachandpur,churachandpur,
Churu,churu,
Coimbatore,coimbatore,https://housing.com/price-trends/property-rates-for-buy-in-coimbatore_tamil_nadu-P31idr9pwh1nucety
Cooch Behar,cooch-behar,
Cuddalore,cuddalore,
Cuttack,cuttack,
Dadra And Nagar Haveli,dadra-and-nagar-haveli,
Dahod,dahod,
Dakshin Dinajpur,dakshin-dinajpur,
Dakshina Kannada,dakshina-kannada,
Daltonganj,daltonganj,
Daman,daman,
Damoh,damoh,
Dang,dang,
Dantewada,dantewada,
Dapoli,dapoli,
Darbhanga,darbhanga,
Darjeeling,darjeeling,
Darrang,darrang,
Datia,datia,
Dausa,dausa,
Davanagere,davanagere,
Dehradun,dehradun,https://housing.com/price-trends/property-rates-for-buy-in-dehradun_uttarakhand-P654xohy3gqmmnwny
Dehri On Sone,dehri-on-sone,
Delhi,delhi,
Deogarh,deogarh,
Deoghar,deoghar,
Deoria,deoria,
Dera Bassi,dera-bassi,
Devbhoomi Dwarka,devbhoomi-dwarka,
Dewas,dewas,
Dhalai,dhalai,
Dhamtari,dhamtari,
Dhanbad,dhanbad,
Dhar,dhar,
Dharamsala,dharamsala,
Dharmapuri,dharmapuri,
Dharuhera,dharuhera,
Dhemaji,dhemaji,
Dhenkanal,dhenkanal,
Dholera,dholera,
Dholka,dholka,
Dholpur,dholpur,
Dhubri,dhubri,
Dhule,dhule,
Dibang Valley,dibang-valley,
Dibrugarh,dibrugarh,
Dima Hasao,dima-hasao,
Dimapur,dimapur,
Dindigul,dindigul,
Dindori,dindori,
Diu,diu,
Doda,doda,
Dubai,dubai,
Dumka,dumka,
Dungarpur,dungarpur,
Durg,durg,
Durgapur,durgapur,
East Garo Hills,east-garo-hills,
East Godavari,east-godavari,
East Jaintia Hills,east-jaintia-hills,
East Kameng,east-kameng,
East Khasi Hills,east-khasi-hills,
East Siang,east-siang,
East Sikkim,east-sikkim,
East Singhbhum,east-singhbhum,
Eluru,eluru,
Ernakulam,ernakulam,
Erode,erode,
Etah,etah,
Etawah,etawah,
Faizabad,faizabad,
Faridabad,faridabad,https://housing.com/price-trends/property-rates-for-buy-in-faridabad_haryana-P3nlekdze1dlp2923
Faridkot,faridkot,
Farrukhabad,farrukhabad,
Fatehabad,fatehabad,
Fatehgarh Sahib,fatehgarh-sahib,
Fatehpur,fatehpur,
Fazilka,fazilka,
Firozabad,firozabad,
Firozpur,firozpur,
Gadag,gadag,
Gadchiroli,gadchiroli,
Gajapati,gajapati,
Gajraula,gajraula,
Ganderbal,ganderbal,
Gandhinagar,gandhinagar,https://housing.com/price-trends/property-rates-for-buy-in-gandhinagar_gujarat-P5bsg39c3wje5gofj
Gangtok,gangtok,
Ganjam,ganjam,
Garhwa,garhwa,
Gariaband,gariaband,
Gaya,gaya,
Ghaziabad,ghaziabad,https://housing.com/price-trends/property-rates-for-buy-in-ghaziabad_uttar_pradesh-P6wujpumuv5tkcmbj
Ghazipur,ghazipur,
Gift City,gift-city,
Gir Somnath,gir-somnath,
Giridih,giridih,
Goa,goa,https://housing.com/price-trends/property-rates-for-buy-in-goa_india-P4nspulf55bwkkg4h
Goalpara,goalpara,
Godda,godda,
Golaghat,golaghat,
Gomati,gomati,
Gonda,gonda,
Gondal,gondal,
Gondia,gondia,
Gopalganj,gopalganj,
Gorakhpur,gorakhpur,
Greater Noida,greater-noida,https://housing.com/price-trends/property-rates-for-buy-in-greater_noida_uttar_pradesh-P6fh9cuf4xravz1ts
Gudivada,gudivada,
Gulbarga,gulbarga,
Gumla,gumla,
Guna,guna,
Guntakal,guntakal,
Guntur,guntur,
Gurdaspur,gurdaspur,
Gurgaon,gurgaon,https://housing.com/price-trends/property-rates-for-buy-in-gurgaon_haryana-P1od1w26jrfqap1jl
Guwahati,guwahati,https://housing.com/price-trends/property-rates-for-buy-in-guwahati_assam-P47ict1f3zqkkhvr5
Gwalior,gwalior,
Hailakandi,hailakandi,
Haldia,haldia,
Hamirpur,hamirpur,
Hanumangarh,hanumangarh,
