city_name,city_page_url,price_trend_url
Abohar,https://housing.com/in/buy/real-estate-abohar,
Abu Dhabi,https://housing.com/in/buy/real-estate-abu-dhabi,
Adilabad,https://housing.com/in/buy/real-estate-adilabad,
Agarmalwa,https://housing.com/in/buy/real-estate-agarmalwa,
Agartala,https://housing.com/in/buy/real-estate-agartala,
Agra,https://housing.com/in/buy/real-estate-agra,
Ahmedabad,https://housing.com/in/buy/real-estate-ahmedabad,
Ahmednagar,https://housing.com/in/buy/real-estate-ahmednagar,
Aizawl,https://housing.com/in/buy/real-estate-aizawl,
Ajman,https://housing.com/in/buy/real-estate-ajman,
