record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
city_trend,Agra,buy,ALL,Apartment,"₹5,052",₹265,₹1 Lakh,666,,,3902,3952,4229,4161,"[[""Apr'25-Jun'25"", 3902], [""July'25-Sept'25"", 4229], [""Oct'25-Dec'25"", 4161], [""Jan'26-Mar'26"", 3952]]"
city_trend,Agra,buy,ALL,Independent House,"₹5,052",₹265,₹1 Lakh,666,,,6046,5924,5617,6190,"[[""Apr'25-Jun'25"", 6046], [""July'25-Sept'25"", 5617], [""Oct'25-Dec'25"", 6190], [""Jan'26-Mar'26"", 5924]]"
city_trend,Agra,buy,ALL,Villa,"₹5,052",₹265,₹1 Lakh,666,,,6782,4871,4696,4837,"[[""Apr'25-Jun'25"", 6782], [""July'25-Sept'25"", 4696], [""Oct'25-Dec'25"", 4837], [""Jan'26-Mar'26"", 4871]]"
city_summary,Agra,buy,ALL,"OVERALL avg=₹5,052","₹5,052",₹265,₹1 Lakh,666,,,,,,,
locality,Agra,buy,Sikandra,Apartment,"₹3,857","₹2,399","₹6,319",37,https://housing.com/in/buy/agra/sikandra-gid/,yes,3689,3857,3786,3995,"[[""Apr'25-Jun'25"", 3689], [""July'25-Sept'25"", 3786], [""Oct'25-Dec'25"", 3995], [""Jan'26-Mar'26"", 3857]]"
locality,Agra,buy,Tajganj,Apartment,"₹4,710","₹2,888","₹7,438",19,https://housing.com/in/buy/agra/tajganj-gid/,yes,4142,4710,4181,4331,"[[""Apr'25-Jun'25"", 4142], [""July'25-Sept'25"", 4181], [""Oct'25-Dec'25"", 4331], [""Jan'26-Mar'26"", 4710]]"
locality,Agra,buy,Basai,Apartment,"₹4,523","₹2,888","₹7,438",19,https://housing.com/in/buy/agra/basai-gid/,yes,3932,4523,4312,4361,"[[""Apr'25-Jun'25"", 3932], [""July'25-Sept'25"", 4312], [""Oct'25-Dec'25"", 4361], [""Jan'26-Mar'26"", 4523]]"
locality,Agra,buy,Dayal Bagh,Apartment,"₹4,444","₹2,545","₹5,714",18,https://housing.com/in/buy/agra/dayal-bagh-gid/,yes,4062,4444,4574,4696,"[[""Apr'25-Jun'25"", 4062], [""July'25-Sept'25"", 4574], [""Oct'25-Dec'25"", 4696], [""Jan'26-Mar'26"", 4444]]"
locality,Agra,buy,Taj Nagri Phase 2,Apartment,"₹3,725","₹2,965","₹4,614",14,https://housing.com/in/buy/agra/taj-nagri-phase-2-gid/,yes,4753,3725,5149,4671,"[[""Apr'25-Jun'25"", 4753], [""July'25-Sept'25"", 5149], [""Oct'25-Dec'25"", 4671], [""Jan'26-Mar'26"", 3725]]"
locality,Agra,buy,Dhandhupura,Apartment,"₹4,185","₹2,941","₹5,313",10,https://housing.com/in/buy/agra/dhandhupura-gid/,no,,,,,null
