record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
city_trend,New Delhi,buy,ALL,Apartment,"₹14,735",₹241,₹1 Lakh,19K,,,11704,11929,11420,11913,"[[""Apr'25-Jun'25"", 11704], [""July'25-Sept'25"", 11420], [""Oct'25-Dec'25"", 11913], [""Jan'26-Mar'26"", 11929]]"
city_trend,New Delhi,buy,ALL,Independent House,"₹14,735",₹241,₹1 Lakh,19K,,,19413,18457,18664,18720,"[[""Apr'25-Jun'25"", 19413], [""July'25-Sept'25"", 18664], [""Oct'25-Dec'25"", 18720], [""Jan'26-Mar'26"", 18457]]"
city_trend,New Delhi,buy,ALL,Villa,"₹14,735",₹241,₹1 Lakh,19K,,,40659,53549,39444,52905,"[[""Apr'25-Jun'25"", 40659], [""July'25-Sept'25"", 39444], [""Oct'25-Dec'25"", 52905], [""Jan'26-Mar'26"", 53549]]"
city_summary,New Delhi,buy,ALL,"OVERALL avg=₹14,735","₹14,735",₹241,₹1 Lakh,19K,,,,,,,
locality,New Delhi,buy,Chhattarpur,Apartment,"₹6,279","₹2,048","₹14,736",567,https://housing.com/in/buy/new-delhi/chhattarpur-gid/,yes,5895,6279,6037,5941,"[[""Apr'25-Jun'25"", 5895], [""July'25-Sept'25"", 6037], [""Oct'25-Dec'25"", 5941], [""Jan'26-Mar'26"", 6279]]"
locality,New Delhi,buy,Vasant Kunj,Apartment,"₹20,784","₹8,080","₹39,130",377,https://housing.com/in/buy/new-delhi/vasant-kunj-gid/,yes,19679,20784,19183,20695,"[[""Apr'25-Jun'25"", 19679], [""July'25-Sept'25"", 19183], [""Oct'25-Dec'25"", 20695], [""Jan'26-Mar'26"", 20784]]"
locality,New Delhi,buy,Sector 6 Dwarka,Apartment,"₹15,779","₹10,833","₹21,212",291,https://housing.com/in/buy/new-delhi/sector-6-dwarka-gid/,yes,15499,15779,15731,16170,"[[""Apr'25-Jun'25"", 15499], [""July'25-Sept'25"", 15731], [""Oct'25-Dec'25"", 16170], [""Jan'26-Mar'26"", 15779]]"
locality,New Delhi,buy,Sector 4 Dwarka,Apartment,"₹15,975","₹11,093","₹22,500",280,https://housing.com/in/buy/new-delhi/sector-4-dwarka-gid/,yes,15337,15975,15671,15923,"[[""Apr'25-Jun'25"", 15337], [""July'25-Sept'25"", 15671], [""Oct'25-Dec'25"", 15923], [""Jan'26-Mar'26"", 15975]]"
locality,New Delhi,buy,Sector 22 Dwarka,Apartment,"₹16,313","₹8,823","₹25,384",232,https://housing.com/in/buy/new-delhi/sector-22-dwarka-gid/,yes,15256,16313,15926,16257,"[[""Apr'25-Jun'25"", 15256], [""July'25-Sept'25"", 15926], [""Oct'25-Dec'25"", 16257], [""Jan'26-Mar'26"", 16313]]"
locality,New Delhi,buy,Sector 12 Dwarka,Apartment,"₹15,943","₹8,125","₹21,875",228,https://housing.com/in/buy/new-delhi/sector-12-dwarka-gid/,yes,15297,15943,15877,16095,"[[""Apr'25-Jun'25"", 15297], [""July'25-Sept'25"", 15877], [""Oct'25-Dec'25"", 16095], [""Jan'26-Mar'26"", 15943]]"
locality,New Delhi,buy,Rajpur,Apartment,"₹6,617","₹4,250","₹10,000",225,https://housing.com/in/buy/new-delhi/rajpur-gid/,yes,6367,6617,6464,6245,"[[""Apr'25-Jun'25"", 6367], [""July'25-Sept'25"", 6464], [""Oct'25-Dec'25"", 6245], [""Jan'26-Mar'26"", 6617]]"
locality,New Delhi,buy,Sector 19 Dwarka,Apartment,"₹16,909","₹6,597","₹35,714",220,https://housing.com/in/buy/new-delhi/sector-19-dwarka-gid/,yes,15552,16909,16354,16233,"[[""Apr'25-Jun'25"", 15552], [""July'25-Sept'25"", 16354], [""Oct'25-Dec'25"", 16233], [""Jan'26-Mar'26"", 16909]]"
locality,New Delhi,buy,Sector 10 Dwarka,Apartment,"₹15,847","₹11,666","₹20,588",204,https://housing.com/in/buy/new-delhi/sector-10-dwarka-gid/,yes,15370,15847,15746,15771,"[[""Apr'25-Jun'25"", 15370], [""July'25-Sept'25"", 15746], [""Oct'25-Dec'25"", 15771], [""Jan'26-Mar'26"", 15847]]"
locality,New Delhi,buy,Burari,Apartment,"₹5,412","₹2,833","₹7,130",198,https://housing.com/in/buy/new-delhi/burari-gid/,yes,5222,5412,5242,5359,"[[""Apr'25-Jun'25"", 5222], [""July'25-Sept'25"", 5242], [""Oct'25-Dec'25"", 5359], [""Jan'26-Mar'26"", 5412]]"
locality,New Delhi,buy,Sector 5 Dwarka,Apartment,"₹15,132","₹10,666","₹20,294",184,https://housing.com/in/buy/new-delhi/sector-5-dwarka-gid/,yes,14734,15132,15327,15173,"[[""Apr'25-Jun'25"", 14734], [""July'25-Sept'25"", 15327], [""Oct'25-Dec'25"", 15173], [""Jan'26-Mar'26"", 15132]]"
locality,New Delhi,buy,Paschim Vihar,Apartment,"₹11,881","₹5,384","₹24,000",183,https://housing.com/in/buy/new-delhi/paschim-vihar-gid/,yes,12266,11881,12280,12051,"[[""Apr'25-Jun'25"", 12266], [""July'25-Sept'25"", 12280], [""Oct'25-Dec'25"", 12051], [""Jan'26-Mar'26"", 11881]]"
locality,New Delhi,buy,Dwarka Mor,Apartment,"₹6,524","₹3,727","₹10,000",169,https://housing.com/in/buy/new-delhi/dwarka-mor-gid/,yes,6280,6524,6458,6367,"[[""Apr'25-Jun'25"", 6280], [""July'25-Sept'25"", 6458], [""Oct'25-Dec'25"", 6367], [""Jan'26-Mar'26"", 6524]]"
locality,New Delhi,buy,Sector 11 Dwarka,Apartment,"₹15,722","₹11,538","₹23,750",153,https://housing.com/in/buy/new-delhi/sector-11-dwarka-gid/,yes,15117,15722,15494,15808,"[[""Apr'25-Jun'25"", 15117], [""July'25-Sept'25"", 15494], [""Oct'25-Dec'25"", 15808], [""Jan'26-Mar'26"", 15722]]"
locality,New Delhi,buy,Sector 18 Dwarka,Apartment,"₹17,042","₹12,333","₹23,529",142,https://housing.com/in/buy/new-delhi/sector-18-dwarka-gid/,yes,15664,17042,16378,16722,"[[""Apr'25-Jun'25"", 15664], [""July'25-Sept'25"", 16378], [""Oct'25-Dec'25"", 16722], [""Jan'26-Mar'26"", 17042]]"
locality,New Delhi,buy,Patparganj,Apartment,"₹15,225","₹5,833","₹21,333",135,https://housing.com/in/buy/new-delhi/patparganj-gid/,yes,13264,15225,14326,15079,"[[""Apr'25-Jun'25"", 13264], [""July'25-Sept'25"", 14326], [""Oct'25-Dec'25"", 15079], [""Jan'26-Mar'26"", 15225]]"
