record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
city_trend,New Delhi,rent,ALL,Apartment,"₹36,669","₹1,500",₹2 Lakh,15K,,,16365,17818,16474,17433,"[[""Apr'25-Jun'25"", 16365], [""July'25-Sept'25"", 16474], [""Oct'25-Dec'25"", 17433], [""Jan'26-Mar'26"", 17818]]"
city_trend,New Delhi,rent,ALL,Independent House,"₹36,669","₹1,500",₹2 Lakh,15K,,,26590,28743,27304,28064,"[[""Apr'25-Jun'25"", 26590], [""July'25-Sept'25"", 27304], [""Oct'25-Dec'25"", 28064], [""Jan'26-Mar'26"", 28743]]"
city_trend,New Delhi,rent,ALL,Villa,"₹36,669","₹1,500",₹2 Lakh,15K,,,54726,58000,57405,57332,"[[""Apr'25-Jun'25"", 54726], [""July'25-Sept'25"", 57405], [""Oct'25-Dec'25"", 57332], [""Jan'26-Mar'26"", 58000]]"
city_summary,New Delhi,rent,ALL,"OVERALL avg=₹36,669","₹36,669","₹1,500",₹2 Lakh,15K,,,,,,,
locality,New Delhi,rent,Saket,1 BHK,"₹17,004","₹9,000","₹27,888",684,https://housing.com/rent/flats-for-rent-in-saket-new-delhi-P2id2hcj925tor3ph,yes,17320,17001,16870,17112,"[[""Apr'25-Jun'25"", 17320], [""July'25-Sept'25"", 16870], [""Oct'25-Dec'25"", 17112], [""Jan'26-Mar'26"", 17001]]"
locality,New Delhi,rent,Chhattarpur,1 BHK,"₹15,326","₹5,500","₹25,000",344,https://housing.com/rent/flats-for-rent-in-chattarpur-new-delhi-P8kfdyr2a37fxl6k,yes,15698,15331,15221,15811,"[[""Apr'25-Jun'25"", 15698], [""July'25-Sept'25"", 15221], [""Oct'25-Dec'25"", 15811], [""Jan'26-Mar'26"", 15331]]"
locality,New Delhi,rent,Lajpat Nagar,1 BHK,"₹25,201","₹16,000","₹42,000",268,https://housing.com/rent/flats-for-rent-in-lajpat-nagar-new-delhi-P14etdmkhpoijugsf,yes,23997,25201,25178,25540,"[[""Apr'25-Jun'25"", 23997], [""July'25-Sept'25"", 25178], [""Oct'25-Dec'25"", 25540], [""Jan'26-Mar'26"", 25201]]"
locality,New Delhi,rent,Patel Nagar,1 BHK,"₹19,341","₹10,000","₹28,000",190,https://housing.com/rent/flats-for-rent-in-patel-nagar-new-delhi-P11kwlv4nw6wthgxk,yes,18323,19341,19000,18793,"[[""Apr'25-Jun'25"", 18323], [""July'25-Sept'25"", 19000], [""Oct'25-Dec'25"", 18793], [""Jan'26-Mar'26"", 19341]]"
locality,New Delhi,rent,Dwarka Mor,1 BHK,"₹13,265","₹5,000","₹20,000",120,https://housing.com/rent/flats-for-rent-in-dwarka-mor-new-delhi-Pfkgym5kvlhge7gn,yes,11329,13154,12415,12722,"[[""Apr'25-Jun'25"", 11329], [""July'25-Sept'25"", 12415], [""Oct'25-Dec'25"", 12722], [""Jan'26-Mar'26"", 13154]]"
locality,New Delhi,rent,Uttam Nagar,1 BHK,"₹11,375","₹4,000","₹20,000",116,https://housing.com/rent/flats-for-rent-in-uttam-nagar-new-delhi-P43q6pfvqpemm4jmq,yes,10009,11375,10962,11188,"[[""Apr'25-Jun'25"", 10009], [""July'25-Sept'25"", 10962], [""Oct'25-Dec'25"", 11188], [""Jan'26-Mar'26"", 11375]]"
